RESPNUM;CCGID;RUNID;INTDATE;DAY;GATE;BAREA;STRATA;PEAK;METH;SAQ;AIRLINE;DESTINATION;FLIGHT;AIRLINE_CODE;DEST_CODE;DESTGEO;DESTMARK;ARRTIME;DEPTIME;HOWLONG;Q2PURP1;Q2PURP2;Q2PURP3;Q3GETTO1;Q3GETTO2;Q3GETTO3;Q3PARK;Q4BAGS;Q4STORE;Q4FOOD;Q4WIFI;Q5TIMESFLOWN;Q5FIRSTTIME;Q6LONGUSE;Q7ART;Q7FOOD;Q7STORE;Q7SIGN;Q7WALKWAY;Q7SCREENS;Q7INFODOWN;Q7INFOUP;Q7WIFI;Q7ROADS;Q7PARK;Q7AIRTRAIN;Q7LTPARKING;Q7RENTAL;Q7ALL;Q8-1;Q8-2;Q8-3;Q8-4;Q8-5;Q8-6;Q9Boarding;Q9AirTrain;Q9Rental;Q9Food;Q9Restroom;Q9All;Q9-1;Q9-2;Q9-3;Q10Safe;Q10-1;Q10-2;Q10-3;Q11TSAPRE;Q12PRECHECKRATE;Q12-1;Q12-2;Q12-3;Q13COUNTY;Q13GETRATE;Q14FIND ;Q14PASSTHRU;Q15PROBLEM;Q15A;Q15-1;Q15-2;Q15-3;NETPRO  ;Q17LIVE;Q18CITY;Q18COUNTY;Q18STATE;Q18ZIP;Q18COUNTRY;HOME;Q19Clear;Q20Age;Q21Gender;Q22Income;Q23FLY;Q24SJC;Q24OAK;LANG;WEIGHT
1831;1673;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;1:30 PM;18:15:00;285;1;;;6;;;;1;1;2;1;2;1;2;5;5;5;5;5;4;6;6;4;6;6;6;6;6;5;0;;;;;;5;6;6;6;4;5;0;;;4;12;;;2;;;;;5;5;5;5;2;;;;;9;3;SAFIA;;;;BULGARIA;15;2;3;1;0;2;0;1;1;0,6704842
1848;1684;552;21;2;102;G;3;3;1;1;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;4:00 PM;18:15:00;135;2;;;7;;;;1;1;1;1;1;1;4;4;4;4;4;3;3;3;3;4;4;4;6;6;6;4;102;;;;;;4;4;4;4;4;4;0;;;3;23;;;3;;;;;5;4;4;5;2;;;;;9;3;;;;;TURKEY;15;2;6;1;1;2;2;2;1;0,6704842
1841;1679;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;1:15 PM;18:15:00;300;13;;;2;;;;1;1;1;1;4;1;2;5;5;5;5;5;5;5;5;5;5;5;5;6;5;5;203;202;;;;;5;5;5;5;4;5;0;;;5;0;;;2;;;;;1;5;5;2;2;;;;;9;2;EUREKA;HUMBOLDT COUNTY;CA;95501;US;10;2;5;2;2;3;2;2;1;0,6704842
1835;1675;552;21;2;102;G;3;3;1;1;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;1:00 PM;18:15:00;315;3;;;2;;;;1;2;2;1;1;2;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;8;;;;;;5;5;5;5;5;5;0;;;5;3;;;3;;;;;5;0;4;5;2;;;;;10;2;WEST SACRAMENTO;YOLO COUNTY;CA;95691;US;10;2;3;1;1;3;2;2;1;0,6704842
1849;1685;552;21;2;102;G;3;3;1;2;TURKISH AIRLINES;ISTANBUL;80;29;27;7;4;1:30 PM;18:15:00;285;3;;;5;;;;0;1;0;0;1;2;1;0;4;0;5;5;5;0;0;0;6;6;6;6;6;5;60;;;;;;5;6;0;5;5;5;0;;;5;0;;;0;;;;;0;5;5;5;2;;;;;10;3;;;;;;99;2;3;2;0;0;0;0;1;0,6704842
2289;794;537;16;4;8;A;3;3;1;1;QANTAS;SYDNEY;74;26;67;9;4;8:00 PM;22:45:00;165;4;;;2;;;;1;1;0;0;1;2;1;5;5;5;5;5;5;5;5;5;4;4;4;4;4;5;0;;;;;;4;4;4;4;4;4;0;;;5;0;;;0;;;;;7;4;4;0;0;;;;;11;0;;;;;;99;0;0;0;0;0;0;0;1;0,6704842
977;1355;542;18;6;99;G;3;3;1;2;LUFTHANSA;MUNICH;459;24;39;6;4;1:00 PM;20:55:00;475;2;3;;3;;;;0;1;0;1;1;1;0;0;3;3;0;4;4;0;0;4;0;0;0;0;0;3;0;;;;;;0;0;0;0;0;3;0;;;3;0;;;4;;;;;11;1;3;0;2;;;;;11;0;;;;;;99;2;6;2;0;0;2;2;1;0,3607733
105;565;626;29;3;88;F;2;1;1;1;UNITED;WASHINGTON,DC-DULLES;727;30;72;2;2;9:55 AM;12:20:00;145;3;;;6;;;;1;0;1;1;3;1;4;0;3;6;0;3;3;0;0;3;2;2;4;6;6;BLANK;101;;;;;;4;5;6;4;4;3;0;;;4;0;;;2;;;;;1;3;3;0;2;;;;;11;1;BERKELEY;ALAMEDA COUNTY;CA;94703;US;1;2;7;2;4;2;2;1;1;1,4869248
1973;1109;105;11;6;7;A;2;3;1;1;CATHAY PACIFIC;HONG KONG;879;12;23;8;4;11:00 AM;13:05:00;125;2;;;2;;;;1;2;2;2;1;2;1;6;4;6;4;5;5;6;6;6;6;6;6;6;6;5;1;;;;;;5;6;6;6;5;5;0;;;5;0;;;2;;;;;5;5;5;3;1;TRANSLATE;33;;;0;3;CANTON;;;;CHINA;16;2;7;2;3;2;2;2;3;0,3191648
2385;891;531;16;4;102;G;3;3;1;1;UNITED INTL;SYDNEY;863;31;67;9;4;2:00 PM;22:35:00;515;2;;;3;;;;2;1;1;1;1;2;1;6;3;3;4;5;3;6;6;5;6;6;6;6;6;4;505;;;;;;5;6;6;5;4;4;0;;;5;0;;;4;;;;;11;6;4;6;1;MY AIRLINE LOST MY BAG.;41;;;0;3;SDNEY;;;;AUSTRALIA;19;2;3;1;4;3;2;2;1;1,4869248
3209;2286;605;22;3;84;F;3;2;1;1;UNITED;SANTA BARBARA;5584;30;61;1;1;7:45 PM;20:20:00;35;2;;;3;;;;2;2;2;1;2;1;4;6;6;6;4;6;0;3;0;0;6;6;6;6;6;1;5;501;;;;;1;6;6;6;3;3;0;;;4;12;;;2;;;;;11;0;3;2;1;6:38PM FLIHT DELAYED & THEN CHANGED, GATES CHANGED MANY TIMES, I WAS REBOOKED AND THEN MISSED DUE TO ATE CHANE NOW GOING ON FLIGHT.;53;54;;0;3;GOLETA;SANTA BARBARA COUNTY;CA;93117;US;10;0;7;2;0;2;2;2;1;1,4869248
1794;2108;550;20;1;50;D;3;2;1;1;ALASKA;RALEIGH-DURHAM;1074;7;53;2;2;8:00 PM;22:25:00;145;1;;;6;;;;1;2;2;1;3;1;2;6;4;4;5;5;5;6;6;5;6;6;5;6;6;4;1;;;;;;4;4;6;6;4;4;0;;;5;16;;;1;5;2;21;;5;3;5;5;2;;;;;0;3;SEATTLE;KING COUNTY;WA;98101;US;10;2;6;1;3;2;2;2;1;1,1063322
278;2538;57;3;5;90;F;3;2;1;1;UNITED;BALTIMORE;1153;30;6;2;2;7:30 PM;21:44:00;134;2;;;2;;;;2;2;1;2;1;1;3;3;3;3;4;5;4;6;6;6;4;6;6;6;6;3;801;;;;;;5;6;6;4;3;4;0;;;4;6;;;2;;;;;8;2;5;4;2;;;;;0;1;TRAVIS AFB;SOLANO COUNTY;CA;94535;US;8;2;3;1;2;2;2;2;1;1,4869248
517;2641;77;6;1;69;E;2;2;1;1;UNITED;FT. LAUDERDALE;1843;30;21;2;3;12:45 PM;14:30:00;105;3;;;14;;;;1;3;2;1;1;2;1;6;6;6;4;5;5;6;6;5;6;6;6;6;6;5;0;;;;;;5;4;6;6;6;5;0;;;5;2;;;2;;;;;11;0;5;6;2;;;;;0;3;;;;;HAITI;13;0;4;1;0;2;2;2;1;1,4869248
1265;120;50;3;5;3;A;2;3;1;1;CATHAY PACIFIC;HONG KONG;879;12;23;8;4;9:30 AM;13:05:00;215;3;;;2;;;;1;2;1;1;3;1;4;6;4;6;4;6;4;6;6;4;6;6;6;6;6;4;3;;;;;;4;6;6;4;4;4;0;;;4;0;;;2;;;;;6;5;5;5;2;;;;;0;1;SAN MATEO;SAN MATEO COUNTY;CA;94401;US;6;2;6;2;2;1;2;2;3;0,3191648
2885;2129;180;18;6;7;G;2;3;1;1;EVA AIR;TAIPEI;7;18;68;8;4;10:00 AM;13:00:00;180;1;;;2;;;;0;0;0;0;6;1;4;2;2;2;4;0;4;0;0;0;0;0;0;0;0;BLANK;31;105;110;43;;;3;3;6;6;3;3;5;;;5;0;;;1;5;0;;;5;3;3;3;1;WHEN IS CONSTRUCTION GOING TO STOP, AIR TRAIN BUS SIGNS BAD.;7;;;2;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94160;US;5;1;6;1;4;1;1;1;1;0,6704842
2457;943;905;11;6;67;E;2;2;1;1;UNITED;CHICAGO-O'HARE;268;30;12;3;4;11:45 AM;14:19:00;154;1;;;11;;;;2;1;1;2;4;1;3;5;3;3;4;4;3;6;6;2;4;6;3;6;4;3;11;31;102;106;7;5;5;5;5;5;5;5;0;;;5;4;;;1;5;1;;;5;5;5;4;2;;;;;2;3;CHICAGO;COOK COUNTY;IL;60605;US;11;2;5;1;4;2;2;1;1;1,4869248
3198;522;1;1;3;84;F;1;1;1;1;UNITED;ONTARIO (CALIF);5249;30;44;1;1;10:50 PM;08:35:00;1365;1;2;;3;;;;2;2;1;1;1;2;1;4;1;1;1;3;3;1;1;1;6;6;6;6;6;2;11;;;;;;4;6;6;6;3;3;0;;;4;0;;;2;;;;;11;2;3;6;1;9 HOUR LAYOVER.;53;;;3;3;VANCOUVER;;;;CANADA;13;1;4;2;3;2;2;2;1;1,4869248
2128;720;532;16;4;22;B;3;2;1;1;FRONTIER;DENVER;668;19;14;1;4;1:30 PM;17:33:00;243;6;;;2;;;;2;1;2;2;1;1;4;3;6;5;3;4;3;6;6;6;5;6;6;6;6;4;52;53;60;61;;;5;6;6;6;5;5;0;;;5;4;;;1;3;20;;;28;3;3;4;2;;;;;3;2;AROMAS;MONTEREY COUNTY;CA;95004;US;10;2;5;2;1;2;1;2;1;0,2080380
2199;198;41;3;5;23;B;1;1;1;1;SOUTHWEST;LAS VEGAS;1494;28;31;1;4;7:45 AM;10:45:00;180;1;;;14;;;;1;2;1;2;3;1;2;6;4;6;3;6;4;6;6;6;6;6;6;6;6;2;5;;;;;;4;6;6;4;4;4;0;;;3;11;;;2;;;;;5;5;3;4;2;;;;;4;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94118;US;5;2;2;1;0;3;2;1;1;0,9942748
1376;24;85;8;3;96;G;2;3;1;1;UNITED INTL;SHANGHAI;891;31;64;8;4;1:00 PM;16:25:00;205;3;;;3;;;;1;2;1;2;1;2;1;6;3;3;2;4;4;6;6;6;6;6;6;6;6;4;52;;;;;;3;6;6;3;2;4;0;;;4;0;;;2;;;;;11;6;6;6;1;THE SIGNS AND DIRECTIONS ARE NOT CLEAR / COMPLETE;1;;;5;3;CHARLOTTE;MECKLENBURG COUNTY;NC;28213;US;12;2;6;2;1;2;2;2;3;1,4869248
2152;864;528;16;4;94;G;3;3;1;1;AIR CANADA;VANCOUVER;571;3;71;4;2;6:15 PM;20:05:00;110;2;;;3;;;;2;2;2;1;1;2;1;4;4;4;3;5;5;6;6;5;6;6;6;6;6;4;56;35;803;;;;3;6;6;3;3;3;0;;;4;11;;;4;;;;;11;6;2;6;1;I DIDN'T SEE ANY TROLLIES TO HELP PEOPLE LIKE SENIORS, ELDERL TO GET AROUND.;61;;;5;3;VANCOUVER;;;;CANADA;13;2;7;2;1;2;2;2;1;0,3461202
621;1517;517;15;3;50;D;3;2;1;1;ALASKA;WASHINGTON,DC-DULLES;1090;7;72;2;2;7:40 PM;21:05:00;85;1;;;1;;;4;2;2;2;1;4;1;3;6;6;6;6;6;3;6;6;3;6;6;6;6;6;3;0;;;;;;3;6;6;6;6;3;0;;;5;6;;;1;5;1;;;9;3;3;4;2;;;;;5;1;SANTA ROSA;SONOMA COUNTY;CA;95404;US;9;2;3;1;3;2;1;1;1;1,1063322
4;401;13;1;3;25;B;3;2;1;1;SOUTHWEST;LOS ANGELES;5821;28;34;1;4;7:05 PM;20:20:00;75;1;;;6;;;;2;2;2;2;5;1;3;5;1;2;5;5;4;6;6;3;3;6;2;6;6;3;105;101;77;106;;;5;5;6;3;4;4;0;;;4;3;;;1;5;21;;;5;3;5;5;2;;;;;5;3;BEVERLY HILLS;LOS ANGELES COUNTY;CA;90210;US;10;2;4;1;3;1;2;1;1;0,9942748
1541;307;35;2;4;99;G;2;3;1;1;AIR CHINA;BEIJING;986;4;7;8;4;12:30 PM;14:50:00;140;2;;;2;;;;1;2;2;1;2;1;1;3;6;6;3;3;1;6;6;3;6;6;6;6;6;3;0;;;;;;4;6;6;6;4;4;0;;;5;0;;;2;;;;;5;3;5;1;2;;;;;5;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94112;US;5;2;6;2;1;2;2;2;3;0,6704842
2242;834;527;16;4;94;G;3;3;1;1;WOW;REYKJAVIK;162;33;54;6;1;4:19 PM;18:55:00;156;2;;;2;;;;1;1;2;1;1;1;4;3;4;3;4;4;4;4;4;3;4;3;3;3;3;3;202;;;;;;4;4;4;4;3;4;0;;;4;0;;;2;;;;;7;4;5;3;2;;;;;5;3;PRESTON;KING COUNTY;WA;98050;US;10;2;3;2;2;2;1;2;1;0,6088813
1039;1300;540;18;6;94;G;3;3;1;1;AIR CANADA;CALGARY;8590;3;10;4;2;2:50 PM;18:55:00;245;2;;;3;;;;2;2;1;1;1;1;3;6;3;6;3;6;3;6;6;4;6;6;6;6;6;3;5;59;64;803;;;4;6;6;4;4;4;0;;;3;5;;;4;;;;;11;4;4;6;2;;;;;5;3;VANCOUVER;;;;CANADA;13;2;7;2;0;2;2;2;1;0,3461202
475;2419;547;20;1;54;D;3;2;1;1;ALASKA;PORTLAND;1811;7;50;1;2;5:00 PM;19:58:00;178;2;;;5;;;;2;2;2;2;1;1;4;5;3;3;3;3;2;6;1;6;6;6;6;6;6;3;56;58;61;205;152;991;5;6;6;6;4;0;0;;;5;8;;;1;6;3;;;5;5;3;3;2;;;;;5;3;PORTLAND;WASHINGTON COUNTY;OR;97229;US;10;2;7;2;4;2;2;2;1;1,1063322
2460;966;907;11;6;2;A;3;2;1;1;ALASKA;SALT LAKE CITY;744;7;55;1;2;3:45 PM;19:30:00;225;2;;;3;;;;1;2;1;1;2;1;1;4;4;6;2;4;4;5;6;4;6;6;4;6;6;4;53;56;57;8;;;3;4;6;4;6;4;0;;;5;16;;;4;;;;;11;5;2;2;2;;;;;5;3;SALT LAKE CITY;SALT LAKE COUNTY;UT;84109;US;10;2;5;1;3;2;2;2;1;1,1063322
2132;721;532;16;4;22;B;3;2;1;1;FRONTIER;DENVER;668;19;14;1;4;2:30 PM;17:33:00;183;3;;;2;;;;2;1;2;1;1;1;2;6;6;3;4;3;3;6;6;5;4;6;6;6;6;4;53;;;;;;3;6;6;6;3;3;0;;;5;8;;;1;5;2;;;7;3;3;4;2;;;;;5;3;ORMOND BEACH;VOLUSIA COUNTY;FL;32174;US;12;2;7;1;1;2;2;2;1;0,2080380
1594;274;32;2;4;97;G;2;3;1;1;SINGAPORE AIRLINES;SINGAPORE;31;27;65;8;4;9:30 AM;11:30:00;120;3;;;2;;;;1;2;2;2;1;1;4;3;3;3;3;4;4;6;6;6;5;3;2;3;6;3;0;;;;;;3;3;3;3;4;3;0;;;3;0;;;2;;;;;5;3;5;5;2;;;;;5;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94102;US;5;2;7;2;1;2;2;2;3;0,6704842
1536;305;35;2;4;99;G;2;3;1;1;AIR CHINA;BEIJING;986;4;7;8;4;12:00 PM;14:50:00;170;3;;;2;;;;1;2;2;1;3;1;2;6;6;6;3;3;3;6;6;4;6;6;6;6;6;3;0;;;;;;4;6;6;6;5;4;0;;;3;0;;;2;;;;;7;3;6;5;2;;;;;5;3;BEIJING;;;;CHINA;16;2;5;2;3;2;2;2;3;0,6704842
1582;328;21;2;4;41;C;1;1;1;1;DELTA;SALT LAKE CITY;3576;16;55;1;2;8:00 AM;10:05:00;125;6;;;2;;;;1;2;2;2;1;1;4;6;6;6;3;6;3;6;6;6;6;6;6;6;6;3;0;;;;;;5;6;6;6;4;4;0;;;4;11;;;2;;;;;6;4;5;5;2;;;;;5;3;RIVERTON;SALT LAKE COUNTY;UT;84065;US;10;2;7;1;3;2;2;2;1;1,1789461
684;2346;638;30;4;6;A;2;3;1;1;CATHAY PACIFIC;HONG KONG;879;12;23;8;4;9:15 AM;13:05:00;230;3;;;2;;;;1;2;2;1;3;1;3;6;3;3;4;5;4;6;6;5;6;6;6;6;6;4;102;;;;;;5;6;6;3;4;4;0;;;5;0;;;2;;;;;5;2;4;3;1;TSA IS RUDE.;32;;;6;3;HONG KONG;;;;CHINA;16;0;3;1;0;1;1;2;1;0,3191648
101;561;626;29;3;88;F;2;1;1;1;UNITED;WASHINGTON,DC-DULLES;727;30;72;2;2;10:00 AM;12:20:00;140;1;;;5;;;;1;1;1;2;2;1;2;4;4;4;4;4;4;6;6;6;3;6;6;6;6;3;72;;;;;;5;6;6;5;4;4;0;;;4;0;;;1;5;0;;;7;1;4;3;2;;;;;6;3;ROCKVILLE;MONTGOMERY COUNTY;MD;20852;US;12;2;4;2;0;2;1;2;1;1,4869248
2455;964;907;11;6;2;A;3;2;1;1;ALASKA;SALT LAKE CITY;744;7;55;1;2;5:00 PM;19:30:00;150;2;;;3;;;;2;2;2;2;1;1;4;6;6;6;3;4;4;6;6;6;6;6;6;6;6;4;65;202;204;;;;3;6;6;6;6;3;0;;;5;5;;;4;;;;;11;0;3;1;2;;;;;6;3;AMERICAN FORK;UTAH COUNTY;UT;84003;US;10;2;5;1;4;2;2;2;1;1,1063322
294;2557;54;3;5;81;F;3;2;1;1;UNITED;SAN DIEGO;460;30;57;1;2;4:30 PM;19:32:00;182;2;;;2;;;;2;1;1;2;3;1;4;5;5;4;5;5;4;6;6;6;4;4;4;6;6;5;72;;;;;;4;4;6;4;4;4;0;;;5;3;;;2;;;;;1;2;4;4;2;;;;;6;0;;;;;;99;0;0;0;0;0;0;0;1;1,4869248
1005;1327;541;18;6;98;G;3;3;1;1;AIR CANADA;VANCOUVER;571;3;71;4;2;4:00 PM;20:05:00;245;2;;;5;;;;2;2;2;1;3;1;3;4;3;3;4;4;4;5;6;5;4;6;5;6;6;3;102;14;22;;;;5;5;6;4;4;4;0;;;5;4;;;1;5;2;;;1;3;5;4;2;;;;;6;1;ALAMEDA;ALAMEDA COUNTY;CA;94502;US;1;2;3;2;3;2;2;1;1;0,3461202
464;2417;547;20;1;54;D;3;2;1;1;ALASKA;PORTLAND;1811;7;50;1;2;6:00 PM;19:58:00;118;2;;;9;;;;1;2;1;1;1;2;1;3;4;4;4;5;4;3;3;4;4;6;5;6;5;4;31;54;59;;;;3;4;4;3;4;4;0;;;4;1;;;2;;;;;18;3;3;5;2;;;;;6;3;RICHLAND;BENTON COUNTY;WA;99352;US;10;2;5;2;2;2;2;2;1;1,1063322
1583;300;33;2;4;95;G;2;3;1;1;UNITED INTL;HONG KONG;869;31;23;8;4;10:30 AM;13:00:00;150;2;;;13;;;;1;1;2;1;1;2;1;6;6;5;5;5;6;6;6;5;6;6;6;6;6;5;0;;;;;;5;6;6;6;6;5;0;;;5;0;;;2;;;;;5;3;6;5;2;;;;;6;3;TRANSLATE;;;;CHINA;16;2;6;2;3;2;2;2;3;1,4869248
1579;299;33;2;4;95;G;2;3;1;1;UNITED INTL;HONG KONG;869;31;23;8;4;10:00 AM;13:00:00;180;2;;;8;;;;2;2;1;1;1;1;4;6;3;6;4;4;3;6;6;4;4;6;6;6;6;4;102;;;;;;5;6;6;4;4;4;0;;;5;2;;;1;4;2;;;5;5;4;5;2;;;;;6;3;HONG KONG;;;;CHINA;16;2;7;2;2;2;2;2;3;1,4869248
1269;122;50;3;5;3;A;2;3;1;1;CATHAY PACIFIC;HONG KONG;879;12;23;8;4;10:20 AM;13:05:00;165;3;;;1;;;0;1;1;2;2;1;1;4;6;6;3;4;6;4;6;6;6;3;6;6;6;6;4;0;;;;;;3;6;6;6;3;3;13;;;3;12;;;2;;;;;5;3;5;4;2;;;;;6;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94134;US;5;2;6;2;0;2;2;2;3;0,3191648
2654;1153;120;12;7;2;A;2;3;1;1;AEROMEXICO;MEXICO CITY;669;2;36;4;4;9:45 AM;13:35:00;230;3;;;2;;;;1;2;1;2;1;2;1;6;6;6;5;5;6;6;6;6;6;6;6;6;6;4;10;;;;;;5;6;6;6;5;5;0;;;5;1;;;2;;;;;7;5;6;5;2;;;;;6;1;SAN JOSE;SANTA CLARA COUNTY;CA;95111;US;7;2;6;2;0;2;1;2;2;0,6704842
519;2480;178;17;5;3;A;2;3;1;1;EMIRATES;DUBAI;226;17;17;7;4;12:00 PM;16:45:00;285;1;;;3;;;;1;1;1;1;1;1;4;5;4;5;5;5;4;6;6;4;6;6;6;6;6;4;206;;;;;;4;6;6;4;4;4;0;;;5;0;;;2;;;;;11;0;4;3;1;COMMUNICATION BY TSA WAS RUDE AND NOT NICE.;32;;;7;3;CAPETOWN;;;;SOUTH AFRICA;18;2;6;2;0;2;2;2;1;0,6704842
863;1532;515;15;3;51;D;3;2;1;1;ALASKA;SEATTLE;1759;7;62;1;4;6:20 PM;19:25:00;65;1;;;5;;;;2;2;2;1;3;1;3;6;4;3;4;4;4;6;6;3;6;6;4;6;3;3;58;;;;;;4;6;6;4;3;4;0;;;5;4;2;;1;5;2;;;5;3;4;5;1;I WANTED TO VISIT THE AMEX CENTURIAN LOUNGE.;46;;;7;3;REDMOND;KING COUNTY;WA;98052;US;10;2;3;1;0;1;1;1;1;1,1063322
